attendance,internal_marks,assignment_scores,participation_level,study_hours,previous_semester_result,performance
74.9816047538945,17.405317153544786,20.46822734943624,3,7.706615458326529,88.17887807854623,at_risk
98.02857225639664,31.676037895134325,19.879151962879995,9,1.687958749355029,98.84762832487509,average
89.2797576724562,44.91783343505633,46.250183220841464,5,9.062957630733935,76.35557172485484,high
83.94633936788146,39.28899545638245,19.981847993980246,8,8.145364472739683,70.22250322504425,average
66.24074561769746,42.26244591445799,20.87798904514524,7,2.424735100950529,92.70495178269769,average
66.2397808134481,36.35133466842869,40.37593049671855,8,1.4660729985953518,97.15100738107591,average
62.323344486727976,37.6910625807141,27.9895936980216,7,6.015795177828776,85.27221495414763,average
94.6470458309974,43.96782606261277,41.06842227820725,3,2.404322302059792,66.72717578405727,average
84.04460046972835,19.98672035436744,12.614646302575409,2,8.51131857335745,75.53328395988643,average
88.32290311184181,29.57699854572562,29.502847746935373,7,4.225011910045064,82.05612190107996,average
60.823379771832094,18.84837767278409,11.344544007331304,3,9.216032002629179,51.656414260108086,at_risk
98.79639408647978,49.50672031986588,12.50612813821418,3,6.091193549269052,66.83206193298628,average
93.29770563201687,47.76237358746453,46.25749813377644,2,2.6440514581570134,89.7892758830371,average
68.49356442713105,11.577072454740236,15.569814844703807,4,2.256389806238201,79.28352090990657,at_risk
67.27299868828402,38.22300690062754,31.296827291008682,8,6.188251938019786,64.67224403271125,average
67.33618039413736,47.009932696626635,26.443824104028263,1,7.856952506761996,79.80175204088088,average
72.1696897183815,17.22301380509334,23.893733050353706,1,8.033550829679639,47.09334472434759,at_risk
80.99025726528951,32.717809222105174,45.9933338274909,5,3.4818166399715316,64.08985663389258,average
77.27780074568463,46.619531903521676,10.87293587101958,5,2.838220830209507,87.58771227778338,at_risk
71.64916560792167,11.357839143431953,36.551587447023564,1,1.1508067404314417,53.23052722819888,at_risk
84.47411578889518,37.8968106898736,48.535777368542014,6,7.112792360810524,51.15769045344506,average
65.57975442608168,21.89396029490203,32.40672733847368,1,1.6891143259018508,97.04911959498588,at_risk
71.68578594140872,46.975847815061215,47.472898481323675,5,4.786850815893333,52.593857775173845,average
74.65447373174767,48.842329806614714,12.09031517144095,9,6.415139476164665,55.655114779010084,average
78.24279936868143,47.770659564537354,26.751732762966455,5,9.433980504277093,98.17695633426027,high
91.40703845572054,28.96856866629855,20.406311638482045,6,3.8062192326019177,84.08251421590154,average
67.98695128633439,44.481706039572536,39.23283859922919,8,3.247949462018678,81.97579198141169,average
80.56937753654447,43.78197594140281,49.25188361988987,1,6.887441388574886,91.17558303127487,high
83.6965827544817,22.764018929730227,20.26120249776991,2,6.573151288482235,46.94938493420766,at_risk
61.858016508799906,43.1566189660271,36.16698405896298,9,3.988988049773121,82.35737419480043,average
84.30179407605753,11.480305388619705,17.923905310389607,3,9.352916519588078,70.22131655969433,average
66.82096494749166,33.85079513928212,32.61321018286439,6,8.603760947406695,89.74903841704838,at_risk
62.60206371941118,19.20035349150812,28.557299467533447,5,3.0158429127857302,70.48850311991166,at_risk
97.95542149013333,14.822675431091152,48.88021318526148,2,3.1522829089107085,77.21448125613472,average
98.62528132298237,13.078128065168366,34.341090907858664,7,5.610703121983725,68.66452758397216,average
92.33589392465845,37.85155103512559,23.980254883472753,4,7.962148915576483,68.68953541335065,average
72.18455076693482,23.594998550722647,14.563831395517335,1,1.3963634144961796,86.0781986837099,at_risk
63.90688456025536,38.99067086115046,16.04987314939738,4,7.24001638361236,77.713984038837,average
87.36932106048627,12.614253631957695,19.012677198049403,6,6.834123076438873,77.99579209656463,average
77.60609974958405,22.611613513224412,20.03866645361192,7,3.083320863216894,67.01694902989155,at_risk
64.88152939379115,31.57965169501349,44.024642313645515,7,7.132177119172139,71.86656978025165,average
79.80707640445081,41.628926593558546,32.44891153130099,7,9.461648721268743,84.74305997228724,average
61.375540844608736,22.7501001172828,30.935636454974656,3,1.4210726047459166,89.5564551467151,at_risk
96.37281608315129,35.03565505748036,14.590754874768699,6,3.876868497628563,81.79368412864277,average
70.35119926400068,45.43910992944748,44.4055877339774,8,4.943590449997197,95.44437933074099,high
86.50089137415928,34.63452752729218,38.91257212833935,4,9.093343230322207,89.21944528883205,high
72.46844304357644,19.31837899014535,12.706734476000063,8,9.660353019482411,73.71182738857111,at_risk
